File with 5 tables.  All tables have row headers in column A.  Tables column headers in row 9.,,,,,,,,,,,
"Table 1.  Marital History for People 15 Years Old and Over, by Age and Sex:  2009, continued",,,,,,,,,,,
,"Total, 15 years and over",15 to ,20 to ,25 to ,30 to ,35 to ,40 to,50 to,60 to,,
 Characteristic,,19,24,29,34,39,49,59,69, 70 years,
,Estimate,years,years,years,years,years,years,years,years,and over,
"White alone, non-Hispanic",,,,,,,,,,,
.MEN,,,,,,,,,,,
..Total (in thousands)," 79,170 "," 6,376 "," 6,466 "," 6,258 "," 5,778 "," 6,113 "," 14,703 "," 14,465 "," 10,042 "," 8,969 ",
..Percent,,,,,,,,,,,
...Never married,29.0,98.2,88.0,56.9,32.3,20.3,15.0,10.0,4.3,2.9,
...Ever married,71.0,1.8,12.0,43.1,67.7,79.7,85.0,90.0,95.7,97.1,
....Married once,53.7,1.6,12.0,41.0,61.3,68.2,64.6,62.1,63.8,72.2,
…..Still married 1/,43.9,1.1,10.7,36.1,53.4,57.6,51.1,50.2,53.8,54.9,
....Married twice,13.5,0.2,0.1,2.0,6.0,10.1,16.9,21.3,23.0,19.2,
…..Still married 1/,10.5,0.1,0.1,1.8,4.9,8.7,12.8,16.6,18.5,13.8,
….Married 3 or more times,3.8,-,-,0.1,0.4,1.3,3.5,6.6,8.9,5.7,
…..Still married 1/,2.9,-,-,-,0.3,1.1,2.7,5.0,6.9,4.1,
,,,,,,,,,,,
...Ever divorced,23.2,0.3,0.9,5.8,12.7,20.1,31.7,37.4,37.4,23.6,
….Currently divorced,9.7,0.2,0.9,3.9,7.4,10.2,15.4,15.3,12.0,6.8,
...Ever widowed,4.1,0.4,0.1,0.2,0.3,0.6,1.2,2.5,6.1,22.2,
….Currently widowed,2.9,0.3,0.1,0.2,0.1,0.4,0.8,1.6,3.6,16.9,
,,,,,,,,,,,
.WOMEN,,,,,,,,,,,
..Total (in thousands)," 84,053 "," 6,238 "," 6,316 "," 6,322 "," 5,867 "," 6,267 "," 14,794 "," 14,998 "," 10,836 "," 12,415 ",
..Percent,,,,,,,,,,,
...Never married,23.0,98.1,76.3,43.3,22.0,13.5,9.8,7.2,4.5,3.8,
...Ever married,77.0,1.9,23.7,56.7,78.0,86.5,90.2,92.8,95.5,96.2,
....Married once,59.1,1.9,23.3,53.5,67.4,69.6,67.0,64.7,67.4,76.5,
…..Still married 1/,42.1,1.3,20.8,45.6,57.1,57.4,52.5,48.8,47.1,32.0,
....Married twice,14.0,-,0.3,3.3,9.7,14.5,18.3,21.4,21.1,15.2,
…..Still married 1/,9.3,-,0.2,2.8,8.3,11.5,13.0,15.2,14.3,5.6,
….Married 3 or more times,3.9,-,-,-,0.9,2.5,4.9,6.7,7.0,4.6,
…..Still married 1/,2.4,-,-,-,0.8,1.8,3.3,4.7,4.1,1.6,
,,,,,,,,,,,
...Ever divorced,25.0,0.2,2.0,8.6,18.4,26.2,34.8,39.4,36.4,20.9,
….Currently divorced,12.0,0.2,1.8,5.8,9.1,12.4,17.5,18.3,16.2,9.4,
...Ever widowed,11.1,0.2,-,0.1,0.4,1.3,2.3,6.0,15.8,50.4,
….Currently widowed,9.8,0.2,-,0.1,0.4,0.7,1.5,4.4,12.6,47.3,
"Source:  U.S. Census Bureau, Survey of Income and Program Participation (SIPP), 2008 Panel Wave 2 Topical Module. For information on sampling and nonsampling error see <www.census.gov/sipp/sourceac/S&A08_W1toW3(S&A-12).pdf>.",,,,,,,,,,,
1/ Includes those currently separated.,,,,,,,,,,,
- Zero or rounds to zero.,,,,,,,,,,,
,,,,,,,,,,,
Internet release date:  May 2011,,,,,,,,,,,
