,date,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,crime_desc,Status,Status Desc,LOCATION,Cross Street,lonlat,rape,lon,lat
529,2015-11-30,150126625,11/30/2015 12:00:00 AM,1240,1,Central,135,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 E  3RD                          ST,,"34.0496, -118.2458",1,34.0496, -118.2458
1096,2015-11-29,150801521,11/29/2015 12:00:00 AM,600,8,West LA,832,122,"RAPE, ATTEMPTED",IC,Invest Cont,         MAYFIELD,   GRANVILLE,"34.0505, -118.4650",1,34.0505, -118.4650
1264,2015-11-29,151522468,11/29/2015 12:00:00 AM,1000,15,N Hollywood,1599,121,"RAPE, FORCIBLE",IC,Invest Cont, 3500    MULTIVIEW                    DR,,"34.1275, -118.3603",1,34.1275, -118.3603
1339,2015-11-30,151821217,11/29/2015 12:00:00 AM,830,18,Southeast,1861,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 W  IMPERIAL                     HY,,"33.9310, -118.2870",1,33.9310, -118.2870
1424,2015-11-29,150126529,11/28/2015 12:00:00 AM,2245,1,Central,142,121,"RAPE, FORCIBLE",IC,Invest Cont,  400 S  FIGUEROA                     ST,,"34.0535, -118.2560",1,34.0535, -118.2560
1482,2015-11-30,150325538,11/28/2015 12:00:00 AM,2000,3,Southwest,317,121,"RAPE, FORCIBLE",IC,Invest Cont, 1400 W  25TH                         ST,,"34.0337, -118.2915",1,34.0337, -118.2915
1534,2015-11-28,150625077,11/28/2015 12:00:00 AM,45,6,Hollywood,632,122,"RAPE, ATTEMPTED",IC,Invest Cont, 8100 W  SUNSET                       BL,,"34.0980, -118.3652",1,34.0980, -118.3652
1641,2015-12-01,151120504,11/28/2015 12:00:00 AM,2230,11,Northeast,1145,122,"RAPE, ATTEMPTED",IC,Invest Cont, 1900    RIVERSIDE                    DR,,"34.0974, -118.2468",1,34.0974, -118.2468
1812,2015-11-29,151821165,11/28/2015 12:00:00 AM,2300,18,Southeast,1827,121,"RAPE, FORCIBLE",IC,Invest Cont, 9900    ANZAC                        AV,,"33.9465, -118.2379",1,33.9465, -118.2379
1863,2015-11-29,152019784,11/28/2015 12:00:00 AM,100,20,Olympic,2001,121,"RAPE, FORCIBLE",IC,Invest Cont,         WILSHIRE                     BL,   VERMONT                      AV,"34.0618, -118.2916",1,34.0618, -118.2916
1890,2015-11-29,152119441,11/28/2015 12:00:00 AM,2350,21,Topanga,2143,121,"RAPE, FORCIBLE",IC,Invest Cont, 6800    FALLBROOK                    AV,,"34.1971, -118.6234",1,34.1971, -118.6234
2208,2015-11-27,151522387,11/27/2015 12:00:00 AM,900,15,N Hollywood,1527,121,"RAPE, FORCIBLE",IC,Invest Cont,11100    VICTORY                      BL,,"34.1867, -118.3728",1,34.1867, -118.3728
2907,2015-11-25,150920280,11/25/2015 12:00:00 AM,1430,9,Van Nuys,943,121,"RAPE, FORCIBLE",IC,Invest Cont, 5400    SYLMAR                       AV,,"34.1688, -118.4466",1,34.1688, -118.4466
2911,2015-11-26,150920289,11/25/2015 12:00:00 AM,1330,9,Van Nuys,926,121,"RAPE, FORCIBLE",IC,Invest Cont,         VICTORY                      BL,   TYRONE,"34.1867, -118.4444",1,34.1867, -118.4444
2950,2015-11-25,151100961,11/25/2015 12:00:00 AM,200,11,Northeast,1139,121,"RAPE, FORCIBLE",IC,Invest Cont, 5900    ARROYO                       DR,,"34.1065, -118.1878",1,34.1065, -118.1878
3029,2015-11-27,151429362,11/25/2015 12:00:00 AM,2200,14,Pacific,1444,121,"RAPE, FORCIBLE",IC,Invest Cont, 2700    ABBOT KINNEY                 BL,,"33.9884, -118.4540",1,33.9884, -118.4540
3365,2015-11-25,150624886,11/24/2015 12:00:00 AM,1830,6,Hollywood,632,121,"RAPE, FORCIBLE",IC,Invest Cont, 1500    QUEENS                       RD,,"34.0977, -118.3763",1,34.0977, -118.3763
3736,2015-11-23,150126173,11/23/2015 12:00:00 AM,2330,1,Central,165,121,"RAPE, FORCIBLE",IC,Invest Cont,  200 E  6TH                          ST,,"34.0446, -118.2490",1,34.0446, -118.2490
3817,2015-11-26,150501252,11/23/2015 12:00:00 AM,1800,5,Harbor,515,121,"RAPE, FORCIBLE",IC,Invest Cont, 1700    WILMINGTON                   BL,,"33.7969, -118.2752",1,33.7969, -118.2752
3928,2015-11-25,150920249,11/23/2015 12:00:00 AM,600,9,Van Nuys,938,122,"RAPE, ATTEMPTED",IC,Invest Cont,13500    VICTORY                      BL,,"34.1867, -118.4268",1,34.1867, -118.4268
4204,2015-10-29,151119056,10/11/2015 12:00:00 AM,800,11,Northeast,1105,121,"RAPE, FORCIBLE",IC,Invest Cont, 2800 W  BROADWAY,,"34.1437, -118.2257",1,34.1437, -118.2257
4397,2015-11-22,150601267,11/22/2015 12:00:00 AM,200,6,Hollywood,636,121,"RAPE, FORCIBLE",IC,Invest Cont, 1700 N  MC CADDEN                    PL,,"34.1016, -118.3374",1,34.1016, -118.3374
5257,2015-11-23,151901096,11/21/2015 12:00:00 AM,2330,19,Mission,1964,121,"RAPE, FORCIBLE",IC,Invest Cont, 9100    TOBIAS                       AV,,"34.2354, -118.4517",1,34.2354, -118.4517
5289,2015-11-22,152000778,11/21/2015 12:00:00 AM,25,20,Olympic,2034,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 S  HARVARD                      BL,,"34.0597, -118.3042",1,34.0597, -118.3042
5362,2015-11-22,150126057,11/20/2015 12:00:00 AM,2300,1,Central,162,121,"RAPE, FORCIBLE",IC,Invest Cont,         7TH,   HOPE,"34.0480, -118.2577",1,34.0480, -118.2577
6481,2015-11-19,150301182,11/18/2015 12:00:00 AM,1700,3,Southwest,395,121,"RAPE, FORCIBLE",IC,Invest Cont, 4000    LA SALLE                     AV,,"34.0109, -118.3057",1,34.0109, -118.3057
