File with 5 tables.  All tables have row headers in column A.  Tables column headers in row 9.,,,,,,,,,,,
"Table 1.  Marital History for People 15 Years Old and Over, by Age and Sex:  2009, continued",,,,,,,,,,,
,"Total, 15 years and over",15 to ,20 to ,25 to ,30 to ,35 to ,40 to,50 to,60 to,,
 Characteristic,,19,24,29,34,39,49,59,69, 70 years,
,Estimate,years,years,years,years,years,years,years,years,and over,
Black alone,,,,,,,,,,,
.MEN,,,,,,,,,,,
..Total (in thousands)," 12,955 "," 1,659 "," 1,395 "," 1,325 "," 1,104 "," 1,122 "," 2,410 "," 2,042 "," 1,109 ", 789 ,
..Percent,,,,,,,,,,,
...Never married,46.9,98.4,91.7,73.1,54.5,43.1,24.2,17.5,9.4,8.1,
...Ever married,53.1,1.6,8.3,26.9,45.5,56.9,75.8,82.5,90.6,91.9,
....Married once,41.9,1.6,8.3,26.3,42.9,51.0,62.1,57.6,61.4,68.1,
…..Still married 1/,29.9,0.7,7.2,22.0,35.5,39.0,43.6,37.3,43.7,43.6,
....Married twice,9.2,-,-,0.5,2.6,5.7,12.6,20.5,20.1,19.5,
…..Still married 1/,6.8,-,-,0.3,2.6,4.5,9.2,15.4,15.5,11.8,
….Married 3 or more times,2.0,-,-,-,-,0.2,1.1,4.5,9.0,4.4,
…..Still married 1/,1.4,-,-,-,-,0.2,1.0,3.2,6.6,2.5,
,,,,,,,,,,,
...Ever divorced,17.7,0.4,0.2,3.1,6.6,14.7,26.5,39.2,34.6,22.9,
….Currently divorced,9.2,0.4,0.2,2.8,4.1,10.0,15.5,20.3,12.5,7.7,
...Ever widowed,3.7,0.5,-,0.5,-,0.6,2.2,3.2,10.7,28.2,
….Currently widowed,2.8,0.5,-,0.5,-,0.3,1.9,2.4,6.7,22.7,
,,,,,,,,,,,
.WOMEN,,,,,,,,,,,
..Total (in thousands)," 15,776 "," 1,686 "," 1,545 "," 1,514 "," 1,367 "," 1,419 "," 2,946 "," 2,483 "," 1,530 "," 1,286 ",
..Percent,,,,,,,,,,,
...Never married,45.2,98.3,88.6,70.5,53.6,39.2,30.7,21.5,14.5,7.0,
...Ever married,54.8,1.7,11.4,29.5,46.4,60.8,69.3,78.5,85.5,93.0,
....Married once,44.6,1.5,11.1,29.0,42.4,52.5,59.2,58.8,62.8,71.0,
…..Still married 1/,24.8,1.3,9.0,23.1,30.2,33.7,37.0,30.4,30.8,14.6,
....Married twice,8.4,0.2,0.2,0.5,3.8,7.5,8.7,15.6,18.4,18.0,
…..Still married 1/,4.4,0.2,0.2,0.5,3.1,5.5,4.8,9.5,9.0,3.3,
….Married 3 or more times,1.7,-,-,-,0.2,0.8,1.4,4.1,4.3,3.9,
…..Still married 1/,0.8,-,-,-,-,0.4,0.9,1.7,2.4,0.8,
,,,,,,,,,,,
...Ever divorced,19.2,0.2,1.3,4.3,11.1,19.9,24.3,37.8,34.4,25.9,
….Currently divorced,12.3,-,1.1,3.8,7.9,13.8,17.3,24.7,18.5,12.0,
...Ever widowed,9.1,0.2,0.3,-,0.7,1.0,3.2,8.2,21.8,60.1,
….Currently widowed,8.3,0.2,0.3,-,0.3,0.6,2.6,6.5,19.9,58.2,
"Source:  U.S. Census Bureau, Survey of Income and Program Participation (SIPP), 2008 Panel Wave 2 Topical Module. For information on sampling and nonsampling error see <www.census.gov/sipp/sourceac/S&A08_W1toW3(S&A-12).pdf>.",,,,,,,,,,,
1/ Includes those currently separated.,,,,,,,,,,,
- Zero or rounds to zero.,,,,,,,,,,,
,,,,,,,,,,,
Internet release date:  May 2011,,,,,,,,,,,
