No_overall,"No in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
1,1,"""Pay It Forward""","December 15, 2011",Sal,1.52[2]
"The Jokers pretend to be eccentric White Castle cashiers, gather signatures in Union Square for causes the other Jokers have written for them, answer tourist questions in Times Square, and act as Costco store employees.
Punishment: Sal must pick up dog poop in the park and hold it for 20 seconds.",,,,,
2,2,"""Butterfly Crime Scene""","December 15, 2011",Sal,1.33[2]
"The group is challenged to apply the most lotion to beach-goers, grab as many groceries from other customers at a grocery store as they can, survey amusement park guests at Six Flags Great Adventure, and pay the least at a frozen yogurt shop.
Punishment: Sal has to make up a song called ""Butterfly Crime Scene"" to sing to hundreds of spectators at a baseball stadium.",,,,,
3,3,"""Unmotivational Speaker""","December 22, 2011",Sal,1.50[3]
"The guys try off-color techniques of impressing women while speed-dating and act as fortune tellers at a boardwalk. Later, they talk to patrons through a bullhorn they can't control and ask surprising questions of people in a pharmacy.
Punishment: Sal poses as a motivational speaker delivering ludicrous methods of work ethics.",,,,,
4,4,"""Boardwalk of Shame""","December 29, 2011",Joe,1.31[4]
"The guys play a game of ""Don't I Know You?"", invade beach-goers' towels, play a humorous word game with customers at a grocery store, and act as salesmen at a car dealership.
Punishment: Joe goes to the boardwalk and has to put a stranger's toe in his mouth.",,,,,
5,5,"""Drawing a Blank""","January 5, 2012",Sal,1.48[5]
"The Jokers act as reporters preparing an interview, caricature artists in a mall, and oddball apartment dwellers looking for roommates, and cut in line for Broadway show tickets.
Punishment: Sal has to pose as a published author and read an excerpt from a brand new book the other Jokers have created for him. However, the book is completely blank and Sal has to make up the excerpt of the book on the spot.",,,,,
6,6,"""Panty Raid""","January 12, 2012",Murr,1.35[6]
"The guys team up to teach karate classes, give interviews from Times Square, persuade shoppers at the pharmacy to not buy products, and give uncomfortable massages on the boardwalk.
Punishment: At the laundromat, Murr must steal a pair of woman's panties and wear them on his head for 10 seconds.",,,,,
7,7,"""Out of TP""","January 19, 2012",Joe,1.61[7]
"The guys analyze handwriting at the mall, steal food from customers' plates at a buffet, teach foreign languages that they do not speak to prospective students, and dance with strangers at the park.
Punishment: Joe sits on the toilet with his pants down at a restaurant and asks for toilet paper in full view of the customers.",,,,,
8,8,"""Who Arted""","January 26, 2012",Q,1.70[8]
"The guys pose as bakery salesmen, focus group analysts, and shoe salesmen, and teach classes at a local gym.
Punishment: Q poses as a photographer/photo-shop artist and must explain many photos to a group of art enthusiasts, with the photos getting increasingly weirder.",,,,,
9,9,"""A Loser Presents""","February 16, 2012",Murr,1.62[9]
