no.overall,no._inseason,title,original_airdate,losing_joker(s),u.s._viewers(millions),season
1,1,"""Pay It Forward""",2011-12-15,Sal,1.52,1
2,2,"""Butterfly Crime Scene""",2011-12-15,Sal,1.33,1
3,3,"""Unmotivational Speaker""",2011-12-22,Sal,1.5,1
4,4,"""Boardwalk of Shame""",2011-12-29,Joe,1.31,1
5,5,"""Drawing a Blank""",2012-01-05,Sal,1.48,1
6,6,"""Panty Raid""",2012-01-12,Murr,1.35,1
7,7,"""Out of TP""",2012-01-19,Joe,1.61,1
8,8,"""Who Arted""",2012-01-26,Q,1.7,1
9,9,"""A Loser Presents""",2012-02-16,Murr,1.62,1
10,10,"""What Did I Eat?""",2012-03-29,Q,1.27,1
11,11,"""Starfart Macchiato""",2012-03-29,Murr,1.27,1
12,12,"""Bellydancer""",2012-04-05,Joe,1.31,1
13,13,"""Charity Case""",2012-04-12,Murr,1.84,1
14,14,"""Theater del Absurdo""",2012-04-19,Joe,1.71,1
15,15,"""Pick a Loser""",2012-04-26,Q,1.12,1
16,16,"""Supercuts""",2012-05-03,"Tie: Joe, Q, Sal, and then Murr",1.51,1
17,1,"""Elephant in the Room""",2012-09-06,Sal,1.72,2
18,2,"""The Stoop Sessions Part 1""",2012-09-13,clip show,1.52,2
19,3,"""Art Attack""",2012-09-20,Murr,1.72,2
20,4,"""The Stoop Sessions Part 2""",2012-09-27,clip show,1.2,2
21,5,"""Strip High Five""",2012-12-13,Joe and Murr,1.69,2
22,6,"""Birds and the Bees""",2012-12-13,Q,1.87,2
23,7,"""Sound EffeXXX""",2012-12-20,Sal,1.56,2
24,8,"""Do Something To My Face""",2012-12-27,Joe,1.97,2
25,9,"""Psychotic Not-Line""",2013-01-03,Sal,2.01,2
26,10,"""The Truth Hurts""",2013-01-10,Murr,1.75,2
27,11,"""Get Out of Dodge""",2013-01-17,Murr,1.69,2
28,12,"""The Love Expert""",2013-01-24,Joe,1.81,2
